"(PDH-CSV 4.0) (GTB Daylight Time)(-180)","\\FOTIS\Memory\% Committed Bytes In Use","\\FOTIS\Processor(_Total)\% Processor Time"
"06/17/2025 23:10:37.240","96.468255155828842362","9.1640162247448646582"
"06/17/2025 23:10:47.256","96.377889112657371129","8.7970793868961667528"
"06/17/2025 23:10:57.246","96.376372733241026936","8.0483035496647268303"
"06/17/2025 23:11:07.246","96.335804415013598145","12.835173420349931916"
"06/17/2025 23:11:17.239","96.438713487339839503","8.1179239614344815834"
"06/17/2025 23:11:27.246","96.333801279853517485","8.0592556575951217468"
"06/17/2025 23:11:37.232","96.317982090711112164","9.4950138285077585465"
"06/17/2025 23:11:47.246","96.324740349390708616","9.0527406456408989754"
"06/17/2025 23:11:57.240","96.303585659783237816","8.6190193269689139299"
"06/17/2025 23:12:07.253","96.357558177867332461","8.8716244863792592668"
"06/17/2025 23:12:17.246","96.380360283977438485","9.991181895680767866"
